1576756835.432	7	starts
1576756847.692	7	ends
1576756854.932	6	starts
1576756867.157	6	ends
1576756894.559	1	starts
1576756906.730	1	ends
1576756929.267	3	starts
1576756939.268	3	ends
1576756961.989	1	starts
1576756973.067	1	ends
1576756984.602	2	starts
1576756994.604	2	ends
1576757001.141	1	starts
1576757011.768	1	ends
1576757018.490	3	starts
1576757028.492	3	ends
1576757038.517	-1	starts
1576757069.086	-1	ends
1576757099.009	4	starts
1576757110.962	4	ends
1576757125.061	2	starts
1576757135.063	2	ends
1576757159.465	4	starts
1576757172.143	4	ends
1576757181.899	3	starts
1576757191.901	3	ends
1576757198.123	4	starts
1576757210.145	4	ends
1576757216.048	2	starts
1576757226.054	2	ends
1576757231.355	-1	starts
1576757261.709	-1	ends
1576757296.724	5	starts
1576757308.486	5	ends
1576757323.630	5	starts
1576757334.421	5	ends
1576757347.764	5	starts
1576757358.606	5	ends
1576757365.643	3	starts
1576757375.645	3	ends
1576757383.336	2	starts
1576757393.338	2	ends
