1576761499.284	7	starts
1576761510.533	7	ends
1576761520.868	6	starts
1576761532.075	6	ends
1576761540.846	1	starts
1576761552.212	1	ends
1576761556.426	2	starts
1576761566.428	2	ends
1576761570.999	3	starts
1576761581.001	3	ends
1576761594.991	-1	starts
1576761595.478	-1	ends
1576761599.278	5	starts
1576761609.401	5	ends
1576761615.889	3	starts
1576761625.893	3	ends
1576761630.344	2	starts
1576761640.360	2	ends
1576761645.127	-1	starts
1576761645.412	-1	ends
1576761649.181	4	starts
1576761661.448	4	ends
